V2007,V2010,V2009,V3009A,UF
1,4,56,7.0,11
1,4,34,7.0,11
1,1,40,7.0,11
2,4,57,7.0,11
1,1,42,7.0,11
1,4,45,7.0,11
1,2,45,7.0,11
1,4,39,7.0,11
1,4,57,7.0,11
1,4,54,7.0,11
1,4,34,7.0,11
2,1,77,7.0,11
2,5,22,7.0,11
1,5,22,8.0,11
1,4,41,7.0,11
1,4,70,7.0,11
2,4,73,7.0,11
2,1,66,7.0,11
2,4,55,7.0,11
2,4,40,7.0,11
1,4,41,7.0,11
2,4,37,7.0,11
1,4,43,8.0,11
2,4,41,8.0,11
2,4,17,8.0,11
2,4,51,7.0,11
2,4,73,7.0,11
1,4,58,7.0,11
1,2,26,7.0,11
2,2,59,7.0,11
2,1,72,8.0,11
2,4,46,7.0,11
1,4,41,7.0,11
2,4,63,7.0,11
1,4,28,7.0,11
2,4,15,7.0,11
2,4,49,7.0,11
2,1,61,7.0,11
1,4,40,7.0,11
2,4,46,7.0,11
1,4,27,7.0,11
1,4,17,7.0,11
2,4,84,7.0,11
1,4,31,7.0,11
1,1,69,7.0,11
1,2,51,7.0,11
2,4,47,7.0,11
2,4,36,7.0,11
1,4,15,7.0,11
2,4,72,7.0,11
2,4,43,7.0,11
1,4,55,7.0,11
2,4,70,7.0,11
2,4,56,7.0,11
1,2,76,7.0,11
2,4,74,7.0,11
2,1,37,7.0,11
2,2,58,7.0,11
1,2,61,7.0,11
2,4,60,7.0,11
1,4,66,7.0,11
1,4,26,7.0,11
1,1,23,7.0,11
1,5,53,7.0,11
1,5,76,7.0,11
1,4,61,7.0,11
2,4,78,7.0,11
1,4,62,7.0,11
2,4,21,7.0,11
2,4,28,7.0,11
1,4,52,7.0,11
1,2,52,7.0,11
2,4,51,7.0,11
1,5,65,7.0,11
1,3,59,7.0,11
1,4,76,7.0,11
1,1,78,7.0,11
2,1,68,7.0,11
1,4,66,7.0,11
1,4,74,7.0,11
2,4,24,7.0,11
2,4,43,7.0,11
1,4,40,7.0,11
2,4,55,7.0,11
2,4,58,7.0,11
2,4,61,7.0,11
1,4,42,7.0,11
1,5,41,7.0,11
2,4,51,7.0,11
2,4,14,7.0,11
2,4,53,7.0,11
2,1,50,7.0,11
1,4,46,7.0,11
1,4,30,7.0,11
1,4,22,7.0,11
2,1,50,7.0,11
1,4,54,7.0,11
1,1,46,7.0,11
1,4,48,7.0,11
2,4,65,7.0,11
2,4,47,7.0,11
1,4,45,7.0,11
